101,Fulfillment,Fulfilled,2024-01-02,46,2024-01-16,45,51,66
102,Fulfillment,Fulfilled,2024-01-08,38,2024-01-23,42,41,56
103,Fulfillment,Fulfilled,2024-01-06,34,2024-01-18,33,24,82
104,Fulfillment,Fulfilled,2024-01-04,31,2024-01-17,28,58,81
105,Fulfillment,Fulfilled,2024-01-07,21,2024-01-24,26,27,89
106,Fulfillment,Fulfilled,2024-01-03,46,2024-01-12,15,21,91
107,Fulfillment,Fulfilled,2024-01-05,27,2024-01-10,22,54,62
108,Fulfillment,Fulfilled,2024-01-09,50,2024-01-24,14,45,28
109,Fulfillment,Fulfilled,2024-01-02,14,2024-01-14,42,20,29
110,Fulfillment,Fulfilled,2024-01-04,30,2024-01-23,41,21,81
111,Fulfillment,Fulfilled,2024-01-04,19,2024-01-15,27,18,61
112,Fulfillment,Fulfilled,2024-01-07,44,2024-01-25,40,17,65
113,Fulfillment,Fulfilled,2023-12-31,49,2024-01-17,30,56,74
114,Fulfillment,Fulfilled,2024-01-07,26,2024-01-23,14,15,29
115,Fulfillment,Fulfilled,2023-12-28,44,2024-01-14,50,54,91
116,Fulfillment,Fulfilled,2024-01-09,50,2024-01-13,42,28,29
117,Fulfillment,Fulfilled,2023-12-31,29,2024-01-20,15,21,58
118,Fulfillment,Fulfilled,2024-01-04,28,2024-01-13,29,34,79
119,Fulfillment,Fulfilled,2024-01-05,33,2024-01-13,38,40,71
120,Fulfillment,Fulfilled,2024-01-02,27,2024-01-12,11,33,49
121,Fulfillment,Fulfilled,2023-12-28,5,2024-01-23,52,46,86
122,Fulfillment,Fulfilled,2024-01-06,9,2024-01-12,52,46,54
123,Fulfillment,Fulfilled,2023-12-28,35,2024-01-20,34,48,45
124,Fulfillment,Fulfilled,2024-01-07,4,2024-01-17,33,42,56
125,Fulfillment,Fulfilled,2024-01-03,21,2024-01-22,38,42,13
126,Fulfillment,Fulfilled,2023-12-28,41,2024-01-23,31,40,98
127,Fulfillment,Fulfilled,2024-01-07,19,2024-01-21,27,44,28
128,Fulfillment,Fulfilled,2024-01-02,12,2024-01-20,32,49,11
129,Fulfillment,Fulfilled,2024-01-06,38,2024-01-16,15,19,94
130,Fulfillment,Fulfilled,2024-01-06,36,2024-01-16,47,36,26
131,Fulfillment,Fulfilled,2024-01-01,30,2024-01-24,51,11,78
132,Fulfillment,Fulfilled,2024-01-03,47,2024-01-11,54,10,92
133,Fulfillment,Fulfilled,2024-01-05,42,2024-01-21,16,55,39
134,Fulfillment,Fulfilled,2024-01-04,48,2024-01-15,34,13,49
135,Fulfillment,Fulfilled,2024-01-09,22,2024-01-12,38,38,58
136,Fulfillment,Fulfilled,2023-12-30,25,2024-01-22,51,58,100
137,Fulfillment,Fulfilled,2024-01-09,8,2024-01-20,55,40,70
138,Fulfillment,Fulfilled,2023-12-28,16,2024-01-20,28,37,43
139,Fulfillment,Fulfilled,2024-01-08,4,2024-01-18,21,27,83
140,Fulfillment,Fulfilled,2024-01-08,11,2024-01-12,43,28,100
141,Fulfillment,Fulfilled,2024-01-06,9,2024-01-10,58,10,21
142,Fulfillment,Fulfilled,2024-01-07,39,2024-01-15,15,35,96
143,Fulfillment,Fulfilled,2024-01-01,19,2024-01-23,32,15,99
144,Fulfillment,Fulfilled,2023-12-29,35,2024-01-19,47,19,37
145,Fulfillment,Fulfilled,2024-01-09,21,2024-01-24,60,33,65
146,Fulfillment,Fulfilled,2023-12-28,17,2024-01-21,55,35,67
147,Fulfillment,Fulfilled,2023-12-29,10,2024-01-11,39,23,20
148,Fulfillment,Fulfilled,2024-01-01,16,2024-01-16,39,25,30
149,Fulfillment,Fulfilled,2023-12-28,21,2024-01-23,32,50,77
150,Fulfillment,Fulfilled,2023-12-30,22,2024-01-16,44,48,22
151,Fulfillment,Fulfilled,2024-01-07,27,2024-01-12,37,58,76
152,Fulfillment,Fulfilled,2024-01-07,16,2024-01-25,54,19,43
153,Fulfillment,Fulfilled,2024-01-05,29,2024-01-19,17,18,27
154,Fulfillment,Fulfilled,2024-01-02,29,2024-01-16,20,47,82
155,Fulfillment,Fulfilled,2024-01-01,41,2024-01-15,25,53,96
156,Fulfillment,Fulfilled,2024-01-05,1,2024-01-22,29,41,32
157,Fulfillment,Fulfilled,2023-12-31,46,2024-01-23,29,19,22
158,Fulfillment,Fulfilled,2024-01-01,42,2024-01-23,60,53,53
159,Fulfillment,Fulfilled,2023-12-29,37,2024-01-19,44,53,90
160,Fulfillment,Fulfilled,2024-01-08,21,2024-01-18,41,17,16
161,Fulfillment,Fulfilled,2023-12-28,8,2024-01-17,59,17,91
162,Fulfillment,Fulfilled,2024-01-08,47,2024-01-16,47,45,24
163,Fulfillment,Fulfilled,2024-01-06,21,2024-01-14,20,25,87
164,Fulfillment,Fulfilled,2024-01-02,48,2024-01-16,44,22,20
165,Fulfillment,Fulfilled,2024-01-09,14,2024-01-16,43,51,53
166,Fulfillment,Fulfilled,2024-01-07,22,2024-01-21,24,19,52
167,Fulfillment,Fulfilled,2024-01-07,39,2024-01-10,36,10,95
168,Fulfillment,Fulfilled,2024-01-08,32,2024-01-16,47,23,65
169,Fulfillment,Fulfilled,2024-01-04,20,2024-01-18,49,57,46
170,Fulfillment,Fulfilled,2024-01-08,9,2024-01-19,19,29,63
171,Fulfillment,Fulfilled,2023-12-27,43,2024-01-17,41,46,31
172,Fulfillment,Fulfilled,2023-12-31,32,2024-01-21,59,10,54
173,Fulfillment,Fulfilled,2024-01-01,18,2024-01-13,55,31,76
174,Fulfillment,Fulfilled,2024-01-02,44,2024-01-16,58,57,61
175,Fulfillment,Fulfilled,2024-01-02,45,2024-01-24,13,17,28
176,Fulfillment,Fulfilled,2023-12-26,46,2024-01-13,18,54,98
177,Fulfillment,Fulfilled,2024-01-06,22,2024-01-18,60,26,82
178,Fulfillment,Fulfilled,2024-01-06,34,2024-01-25,27,33,98
179,Fulfillment,Fulfilled,2023-12-27,44,2024-01-16,16,19,82
180,Fulfillment,Fulfilled,2024-01-05,11,2024-01-19,43,28,31
181,Fulfillment,Fulfilled,2023-12-29,45,2024-01-20,18,20,48
182,Fulfillment,Fulfilled,2023-12-30,40,2024-01-22,37,55,23
183,Fulfillment,Fulfilled,2023-12-28,7,2024-01-15,53,26,82
184,Fulfillment,Fulfilled,2024-01-08,27,2024-01-13,20,52,66
185,Fulfillment,Fulfilled,2023-12-28,1,2024-01-23,26,53,96
186,Fulfillment,Fulfilled,2024-01-09,3,2024-01-11,40,39,57
187,Fulfillment,Fulfilled,2024-01-10,23,2024-01-17,33,20,91
188,Fulfillment,Fulfilled,2023-12-28,25,2024-01-16,52,52,33
189,Fulfillment,Fulfilled,2023-12-27,25,2024-01-20,33,52,10
190,Fulfillment,Fulfilled,2024-01-04,50,2024-01-20,37,13,60
191,Fulfillment,Fulfilled,2023-12-29,39,2024-01-13,54,19,26
192,Fulfillment,Fulfilled,2023-12-26,1,2024-01-19,20,57,13
193,Fulfillment,Fulfilled,2024-01-05,38,2024-01-12,53,42,34
194,Fulfillment,Fulfilled,2023-12-30,40,2024-01-17,56,10,52
195,Fulfillment,Fulfilled,2023-12-27,24,2024-01-15,35,49,92
196,Fulfillment,Fulfilled,2023-12-29,47,2024-01-12,46,60,16
197,Fulfillment,Fulfilled,2023-12-28,12,2024-01-11,31,46,82
198,Fulfillment,Fulfilled,2024-01-07,17,2024-01-18,12,45,97
199,Fulfillment,Fulfilled,2024-01-05,46,2024-01-15,27,42,50
200,Fulfillment,Fulfilled,2024-01-05,9,2024-01-19,35,53,44
